"Tm","W","L","W-L%","GB","RS","RA","pythW-L%","League","Year"
"PHI",96,64,0.6,"--",758,632,0.582,"NL",2010
"SFG",91,69,0.569,"5.0",692,579,0.581,"NL",2010
"ATL",90,70,0.563,"6.0",730,615,0.578,"NL",2010
"SDP",89,71,0.556,"7.0",661,576,0.563,"NL",2010
"CIN",89,71,0.556,"7.0",780,679,0.563,"NL",2010
"STL",84,76,0.525,"12.0",729,640,0.559,"NL",2010
"COL",83,77,0.519,"13.0",769,710,0.536,"NL",2010
"NYM",78,82,0.488,"18.0",648,648,0.5,"NL",2010
"FLA",78,82,0.488,"18.0",712,715,0.498,"NL",2010
"LAD",78,82,0.488,"18.0",661,689,0.481,"NL",2010
"MIL",77,83,0.481,"19.0",744,794,0.47,"NL",2010
"HOU",75,85,0.469,"21.0",604,721,0.42,"NL",2010
"CHC",74,86,0.463,"22.0",677,760,0.447,"NL",2010
"WSN",68,92,0.425,"28.0",651,734,0.445,"NL",2010
"ARI",65,95,0.406,"31.0",710,830,0.429,"NL",2010
"PIT",57,103,0.356,"39.0",585,859,0.331,"NL",2010
"NYY",94,65,0.591,"--",843,673,0.602,"AL",2010
"TBR",94,66,0.588,"0.5",795,647,0.593,"AL",2010
"MIN",93,67,0.581,"1.5",775,665,0.57,"AL",2010
"TEX",89,71,0.556,"5.5",779,679,0.563,"AL",2010
"BOS",87,72,0.547,"7.0",798,728,0.542,"AL",2010
"CHW",86,74,0.538,"8.5",740,697,0.527,"AL",2010
"TOR",84,76,0.525,"10.5",749,722,0.517,"AL",2010
"DET",80,80,0.5,"14.5",746,739,0.504,"AL",2010
"LAA",79,81,0.494,"15.5",673,694,0.486,"AL",2010
"OAK",79,81,0.494,"15.5",654,620,0.524,"AL",2010
"CLE",69,91,0.431,"25.5",639,740,0.433,"AL",2010
"KCR",67,93,0.419,"27.5",674,838,0.402,"AL",2010
"BAL",65,95,0.406,"29.5",609,780,0.389,"AL",2010
"SEA",61,99,0.381,"33.5",507,689,0.363,"AL",2010
"PHI",102,60,0.63,"--",713,529,0.633,"NL",2011
"MIL",96,66,0.593,"6.0",721,638,0.556,"NL",2011
"ARI",94,68,0.58,"8.0",731,662,0.545,"NL",2011
"STL",90,72,0.556,"12.0",762,692,0.544,"NL",2011
"ATL",89,73,0.549,"13.0",641,605,0.526,"NL",2011
"SFG",86,76,0.531,"16.0",570,578,0.494,"NL",2011
"LAD",82,79,0.509,"19.5",644,612,0.523,"NL",2011
"WSN",80,81,0.497,"21.5",624,643,0.486,"NL",2011
"CIN",79,83,0.488,"23.0",735,720,0.509,"NL",2011
"NYM",77,85,0.475,"25.0",718,742,0.485,"NL",2011
"COL",73,89,0.451,"29.0",735,774,0.476,"NL",2011
"PIT",72,90,0.444,"30.0",610,712,0.43,"NL",2011
"FLA",72,90,0.444,"30.0",625,702,0.447,"NL",2011
"CHC",71,91,0.438,"31.0",654,756,0.434,"NL",2011
"SDP",71,91,0.438,"31.0",593,611,0.486,"NL",2011
"HOU",56,106,0.346,"46.0",615,796,0.384,"NL",2011
"NYY",97,65,0.599,"--",867,657,0.624,"AL",2011
"TEX",96,66,0.593,"1.0",855,677,0.605,"AL",2011
"DET",95,67,0.586,"2.0",787,711,0.546,"AL",2011
"TBR",91,71,0.562,"6.0",707,614,0.564,"AL",2011
"BOS",90,72,0.556,"7.0",875,737,0.578,"AL",2011
"LAA",86,76,0.531,"11.0",667,633,0.524,"AL",2011
"TOR",81,81,0.5,"16.0",743,761,0.489,"AL",2011
"CLE",80,82,0.494,"17.0",704,760,0.465,"AL",2011
"CHW",79,83,0.488,"18.0",654,706,0.465,"AL",2011
"OAK",74,88,0.457,"23.0",645,679,0.477,"AL",2011
"KCR",71,91,0.438,"26.0",730,762,0.48,"AL",2011
"BAL",69,93,0.426,"28.0",708,860,0.412,"AL",2011
"SEA",67,95,0.414,"30.0",556,675,0.412,"AL",2011
"MIN",63,99,0.389,"34.0",619,804,0.383,"AL",2011
"WSN",96,64,0.6,"--",722,591,0.591,"NL",2012
"CIN",96,64,0.6,"--",666,586,0.558,"NL",2012
"ATL",93,67,0.581,"3.0",695,595,0.571,"NL",2012
"SFG",93,67,0.581,"3.0",713,641,0.549,"NL",2012
"STL",87,73,0.544,"9.0",763,645,0.576,"NL",2012
"LAD",85,75,0.531,"11.0",629,592,0.528,"NL",2012
"MIL",82,78,0.513,"14.0",766,723,0.526,"NL",2012
"PHI",81,79,0.506,"15.0",681,671,0.507,"NL",2012
"ARI",80,80,0.5,"16.0",728,683,0.529,"NL",2012
"PIT",78,82,0.488,"18.0",646,669,0.484,"NL",2012
"SDP",75,85,0.469,"21.0",641,700,0.46,"NL",2012
"NYM",73,87,0.456,"23.0",643,703,0.459,"NL",2012
"MIA",68,92,0.425,"28.0",603,717,0.421,"NL",2012
"COL",63,97,0.394,"33.0",753,884,0.427,"NL",2012
"CHC",60,100,0.375,"36.0",608,752,0.404,"NL",2012
"HOU",54,106,0.338,"42.0",576,789,0.36,"NL",2012
"NYY",93,67,0.581,"--",786,663,0.577,"AL",2012
"TEX",93,67,0.581,"--",802,692,0.567,"AL",2012
"BAL",92,68,0.575,"1.0",710,701,0.506,"AL",2012
"OAK",92,68,0.575,"1.0",698,608,0.563,"AL",2012
"TBR",89,71,0.556,"4.0",693,575,0.585,"AL",2012
"LAA",89,71,0.556,"4.0",766,681,0.554,"AL",2012
"DET",87,73,0.544,"6.0",723,666,0.537,"AL",2012
"CHW",84,76,0.525,"9.0",736,672,0.542,"AL",2012
"SEA",73,87,0.456,"20.0",601,650,0.464,"AL",2012
"KCR",71,89,0.444,"22.0",672,743,0.454,"AL",2012
"TOR",71,89,0.444,"22.0",710,780,0.457,"AL",2012
"BOS",69,91,0.431,"24.0",729,788,0.464,"AL",2012
"CLE",67,93,0.419,"26.0",663,833,0.397,"AL",2012
"MIN",66,94,0.413,"27.0",697,826,0.423,"AL",2012
