"GameID","date","home","away","homescore","awayscore"
"2009091000",2009-09-10,"PIT","TEN",13,10
"2009091304",2009-09-13,"CLE","MIN",20,34
"2009091307",2009-09-13,"NO","DET",45,27
"2009091308",2009-09-13,"TB","DAL",21,34
"2009091305",2009-09-13,"HOU","NYJ",7,24
"2009091306",2009-09-13,"IND","JAC",14,12
"2009091303",2009-09-13,"CIN","DEN",7,12
"2009091302",2009-09-13,"CAR","PHI",10,38
"2009091301",2009-09-13,"BAL","KC",38,24
"2009091300",2009-09-13,"ATL","MIA",19,7
"2009091309",2009-09-13,"ARI","SF",16,20
"2009091311",2009-09-13,"SEA","STL",28,0
"2009091310",2009-09-13,"NYG","WAS",23,17
"2009091312",2009-09-13,"GB","CHI",21,15
"2009091400",2009-09-14,"NE","BUF",25,24
"2009091401",2009-09-14,"OAK","SD",20,24
"2009092000",2009-09-20,"ATL","CAR",28,20
"2009092001",2009-09-20,"DET","MIN",13,27
"2009092008",2009-09-20,"WAS","STL",9,7
"2009092007",2009-09-20,"TEN","HOU",31,34
"2009092006",2009-09-20,"PHI","NO",22,48
"2009092005",2009-09-20,"NYJ","NE",16,9
"2009092004",2009-09-20,"KC","OAK",10,13
"2009092003",2009-09-20,"JAC","ARI",17,31
"2009092002",2009-09-20,"GB","CIN",24,31
"2009092010",2009-09-20,"SF","SEA",23,10
"2009092009",2009-09-20,"BUF","TB",33,20
"2009092013",2009-09-20,"SD","BAL",26,31
"2009092012",2009-09-20,"DEN","CLE",27,6
"2009092011",2009-09-20,"CHI","PIT",17,14
"2009092014",2009-09-20,"DAL","NYG",31,33
"2009092100",2009-09-21,"MIA","IND",23,27
"2009092700",2009-09-27,"BAL","CLE",34,3
"2009092711",2009-09-27,"NYJ","TEN",24,17
"2009092702",2009-09-27,"DET","WAS",19,14
"2009092703",2009-09-27,"HOU","JAC",24,31
"2009092704",2009-09-27,"MIN","SF",27,24
"2009092705",2009-09-27,"NE","ATL",26,10
"2009092708",2009-09-27,"TB","NYG",0,24
"2009092706",2009-09-27,"PHI","KC",34,14
"2009092707",2009-09-27,"STL","GB",17,36
"2009092709",2009-09-27,"BUF","NO",7,27
"2009092710",2009-09-27,"SEA","CHI",19,25
"2009092701",2009-09-27,"CIN","PIT",23,20
"2009092713",2009-09-27,"SD","MIA",23,13
"2009092712",2009-09-27,"OAK","DEN",3,23
"2009092714",2009-09-27,"ARI","IND",10,31
"2009092800",2009-09-28,"DAL","CAR",21,7
"2009100400",2009-10-04,"CHI","DET",48,24
