"1","0","pred","obs","Decile","Ventile","Charged_off"
0.702,0.298,"1","0",2,3,0
0.3984,0.6016,"0","1",6,12,1
0.0263,0.9737,"0","0",10,20,0
0.4506,0.5494,"0","0",5,10,0
0.4531,0.5469,"0","0",5,10,0
0.4747,0.5253,"0","1",5,9,1
0.6174,0.3826,"1","1",2,4,1
0.7849,0.2151,"1","1",1,2,1
0.5776,0.4224,"1","0",3,6,0
0.5423,0.4577,"1","1",4,7,1
0.3152,0.6848,"0","1",8,15,1
0.5485,0.4515,"1","1",4,7,1
0.1966,0.8034,"0","0",9,18,0
0.0267,0.9733,"0","0",10,20,0
0.9526,0.0474,"1","1",1,1,1
0.5656,0.4344,"1","0",3,6,0
0.5588,0.4412,"1","1",3,6,1
0.1342,0.8658,"0","0",10,20,0
0.958,0.042,"1","1",1,1,1
0.4289,0.5711,"0","1",6,11,1
0.282,0.718,"0","1",8,16,1
0.84,0.16,"1","0",1,2,0
0.5422,0.4578,"1","0",4,7,0
0.6948,0.3052,"1","0",2,3,0
0.4635,0.5365,"0","1",5,10,1
0.9059,0.0941,"1","0",1,1,0
0.8909,0.1091,"1","1",1,1,1
0.7071,0.2929,"1","1",2,3,1
0.413,0.587,"0","1",6,12,1
0.5732,0.4268,"1","1",3,6,1
0.371,0.629,"0","1",7,13,1
0.103,0.897,"0","1",10,20,1
0.259,0.741,"0","0",9,17,0
0.8305,0.1695,"1","1",1,2,1
0.3518,0.6482,"0","0",7,14,0
0.0164,0.9836,"0","0",10,20,0
0.8707,0.1293,"1","0",1,1,0
0.9267,0.0733,"1","1",1,1,1
0.6387,0.3613,"1","0",2,4,0
0.446,0.554,"0","1",5,10,1
0.1522,0.8478,"0","0",10,19,0
0.8686,0.1314,"1","0",1,2,0
0.6396,0.3604,"1","1",2,4,1
0.2727,0.7273,"0","0",8,16,0
0.9152,0.0848,"1","1",1,1,1
0.4387,0.5613,"0","0",6,11,0
0.4939,0.5061,"0","0",5,9,0
0.8474,0.1526,"1","0",1,2,0
0.304,0.696,"0","0",8,15,0
0.4783,0.5217,"0","0",5,9,0
0.0736,0.9264,"0","0",10,20,0
0.1806,0.8194,"0","0",10,19,0
0.4257,0.5743,"0","1",6,11,1
0.4984,0.5016,"0","1",4,8,1
0.8564,0.1436,"1","0",1,2,0
0.6719,0.3281,"1","1",2,3,1
0.5137,0.4863,"1","1",4,8,1
0.9646,0.0354,"1","1",1,1,1
0.6236,0.3764,"1","1",2,4,1
0.8959,0.1041,"1","1",1,1,1
0.6938,0.3062,"1","0",2,3,0
0.2461,0.7539,"0","0",9,17,0
0.766,0.234,"1","0",1,2,0
0.5384,0.4616,"1","1",4,7,1
0.4189,0.5811,"0","1",6,11,1
0.6051,0.3949,"1","0",3,5,0
0.8642,0.1358,"1","0",1,2,0
0.4981,0.5019,"0","0",4,8,0
0.6112,0.3888,"1","0",2,4,0
0.5494,0.4506,"1","0",4,7,0
0.066,0.934,"0","0",10,20,0
0.3695,0.6305,"0","0",7,13,0
0.2515,0.7485,"0","0",9,17,0
0.5455,0.4545,"1","1",4,7,1
0.5413,0.4587,"1","1",4,7,1
0.5559,0.4441,"1","1",3,6,1
0.7728,0.2272,"1","0",1,2,0
0.2995,0.7005,"0","0",8,16,0
0.6508,0.3492,"1","1",2,4,1
0.0061,0.9939,"0","0",10,20,0
0.2201,0.7799,"0","0",9,18,0
0.4653,0.5347,"0","1",5,10,1
0.3843,0.6157,"0","0",7,13,0
0.557,0.443,"1","1",3,6,1
0.3803,0.6197,"0","0",7,13,0
0.2571,0.7429,"0","0",9,17,0
0.942,0.058,"1","1",1,1,1
0.4194,0.5806,"0","1",6,11,1
0.8672,0.1328,"1","0",1,2,0
0.4053,0.5947,"0","0",6,12,0
0.428,0.572,"0","1",6,11,1
0.9419,0.0581,"1","1",1,1,1
0.6217,0.3783,"1","1",2,4,1
0.4949,0.5051,"0","0",5,9,0
0.9216,0.0784,"1","1",1,1,1
0.3044,0.6956,"0","1",8,15,1
0.6988,0.3012,"1","0",2,3,0
0.9121,0.0879,"1","0",1,1,0
0.1637,0.8363,"0","0",10,19,0
0.516,0.484,"1","1",4,8,1
0.6087,0.3913,"1","1",3,5,1
0.4473,0.5527,"0","1",5,10,1
0.9174,0.0826,"1","1",1,1,1
0.4998,0.5002,"0","1",4,8,1
0.8915,0.1085,"1","1",1,1,1
0.65,0.35,"1","1",2,4,1
0.7162,0.2838,"1","1",1,2,1
0.7479,0.2521,"1","0",1,2,0
0.295,0.705,"0","0",8,16,0
0.7695,0.2305,"1","0",1,2,0
0.5297,0.4703,"1","1",4,7,1
0.0488,0.9512,"0","0",10,20,0
0.5702,0.4298,"1","0",3,6,0
0.4423,0.5577,"0","1",6,11,1
0.4003,0.5997,"0","0",6,12,0
0.4798,0.5202,"0","1",5,9,1
0.5198,0.4802,"1","1",4,8,1
0.3871,0.6129,"0","0",7,13,0
0.1899,0.8101,"0","1",10,19,1
0.3977,0.6023,"0","0",6,12,0
0.4942,0.5058,"0","1",5,9,1
0.2586,0.7414,"0","1",9,17,1
0.3168,0.6832,"0","0",8,15,0
0.9518,0.0482,"1","1",1,1,1
0.514,0.486,"1","1",4,8,1
0.3072,0.6928,"0","0",8,15,0
0.4697,0.5303,"0","1",5,9,1
0.4775,0.5225,"0","0",5,9,0
0.6725,0.3275,"1","1",2,3,1
0.8094,0.1906,"1","0",1,2,0
0.5368,0.4632,"1","1",4,7,1
0.2925,0.7075,"0","0",8,16,0
0.4763,0.5237,"0","0",5,9,0
0.4704,0.5296,"0","1",5,9,1
0.5691,0.4309,"1","0",3,6,0
0.5711,0.4289,"1","1",3,6,1
0.3515,0.6485,"0","0",7,14,0
0.2026,0.7974,"0","0",9,18,0
0.8831,0.1169,"1","0",1,1,0
0.6068,0.3932,"1","0",3,5,0
0.6241,0.3759,"1","1",2,4,1
0.4175,0.5825,"0","0",6,11,0
0.3406,0.6594,"0","0",7,14,0
0.4695,0.5305,"0","1",5,10,1
0.8104,0.1896,"1","1",1,2,1
0.1982,0.8018,"0","0",9,18,0
0.2826,0.7174,"0","0",8,16,0
0.5479,0.4521,"1","1",4,7,1
0.8883,0.1117,"1","1",1,1,1
0.1926,0.8074,"0","0",10,19,0
0.2054,0.7946,"0","1",9,18,1
0.4983,0.5017,"0","1",4,8,1
0.6046,0.3954,"1","0",3,5,0
0.0475,0.9525,"0","0",10,20,0
0.5414,0.4586,"1","0",4,7,0
0.2704,0.7296,"0","0",8,16,0
0.2238,0.7762,"0","1",9,18,1
0.9186,0.0814,"1","1",1,1,1
0.7572,0.2428,"1","0",1,2,0
0.5888,0.4112,"1","1",3,5,1
0.4539,0.5461,"0","1",5,10,1
0.6796,0.3204,"1","0",2,3,0
0.259,0.741,"0","0",9,17,0
0.5774,0.4226,"1","1",3,6,1
0.3931,0.6069,"0","0",6,12,0
0.8653,0.1347,"1","1",1,2,1
0.589,0.411,"1","1",3,5,1
0.5508,0.4492,"1","1",3,6,1
0.3479,0.6521,"0","1",7,14,1
0.8621,0.1379,"1","1",1,2,1
0.1492,0.8508,"0","1",10,19,1
0.7957,0.2043,"1","1",1,2,1
0.4065,0.5935,"0","0",6,12,0
0.3712,0.6288,"0","1",7,13,1
0.2579,0.7421,"0","0",9,17,0
0.4317,0.5683,"0","0",6,11,0
0.7523,0.2477,"1","1",1,2,1
0.1456,0.8544,"0","0",10,19,0
0.4598,0.5402,"0","0",5,10,0
0.4835,0.5165,"0","1",5,9,1
0.2795,0.7205,"0","1",8,16,1
0.5979,0.4021,"1","1",3,5,1
0.9436,0.0564,"1","1",1,1,1
0.0886,0.9114,"0","0",10,20,0
0.5126,0.4874,"1","0",4,8,0
0.6955,0.3045,"1","1",2,3,1
0.95,0.05,"1","1",1,1,1
0.3869,0.6131,"0","0",7,13,0
0.6516,0.3484,"1","1",2,3,1
0.0268,0.9732,"0","0",10,20,0
0.4504,0.5496,"0","0",5,10,0
0.4918,0.5082,"0","1",5,9,1
0.5822,0.4178,"1","1",3,5,1
0.7348,0.2652,"1","0",1,2,0
0.8747,0.1253,"1","1",1,1,1
0.1702,0.8298,"0","1",10,19,1
0.8454,0.1546,"1","1",1,2,1
0.2715,0.7285,"0","0",8,16,0
0.9156,0.0844,"1","1",1,1,1
0.5414,0.4586,"1","1",4,7,1
0.5942,0.4058,"1","0",3,5,0
0.9033,0.0967,"1","0",1,1,0
0.9212,0.0788,"1","1",1,1,1
0.4997,0.5003,"0","1",4,8,1
0.0494,0.9506,"0","0",10,20,0
0.0633,0.9367,"0","0",10,20,0
0.05,0.95,"0","1",10,20,1
0.4099,0.5901,"0","0",6,12,0
0.3837,0.6163,"0","1",7,13,1
0.6209,0.3791,"1","1",2,4,1
0.6198,0.3802,"1","1",2,4,1
0.6164,0.3836,"1","1",2,4,1
0.7738,0.2262,"1","1",1,2,1
0.6531,0.3469,"1","0",2,3,0
0.7298,0.2702,"1","0",1,2,0
0.5979,0.4021,"1","1",3,5,1
0.2668,0.7332,"0","1",9,17,1
0.5541,0.4459,"1","0",3,6,0
0.0954,0.9046,"0","1",10,20,1
0.15,0.85,"0","0",10,19,0
0.519,0.481,"1","0",4,8,0
0.5285,0.4715,"1","1",4,7,1
0.784,0.216,"1","1",1,2,1
0.4246,0.5754,"0","1",6,11,1
0.2101,0.7899,"0","1",9,18,1
0.1505,0.8495,"0","0",10,19,0
0.4883,0.5117,"0","0",5,9,0
0.1803,0.8197,"0","0",10,19,0
0.018,0.982,"0","0",10,20,0
0.586,0.414,"1","0",3,5,0
0.1916,0.8084,"0","0",10,19,0
0.9563,0.0437,"1","1",1,1,1
0.4639,0.5361,"0","1",5,10,1
0.1909,0.8091,"0","0",10,19,0
0.7687,0.2313,"1","1",1,2,1
0.2603,0.7397,"0","0",9,17,0
0.661,0.339,"1","0",2,3,0
0.6156,0.3844,"1","1",2,4,1
0.6865,0.3135,"1","1",2,3,1
0.195,0.805,"0","0",10,19,0
0.0328,0.9672,"0","1",10,20,1
0.6124,0.3876,"1","1",2,4,1
0.3262,0.6738,"0","1",8,15,1
0.8077,0.1923,"1","0",1,2,0
0.4464,0.5536,"0","0",5,10,0
0.0498,0.9502,"0","0",10,20,0
0.5217,0.4783,"1","1",4,7,1
0.6332,0.3668,"1","1",2,4,1
0.4744,0.5256,"0","0",5,9,0
0.3376,0.6624,"0","1",7,14,1
0.4965,0.5035,"0","1",4,8,1
0.5926,0.4074,"1","1",3,5,1
0.4515,0.5485,"0","1",5,10,1
0.7532,0.2468,"1","1",1,2,1
0.0877,0.9123,"0","0",10,20,0
0.346,0.654,"0","1",7,14,1
0.3996,0.6004,"0","0",6,12,0
0.242,0.758,"0","0",9,17,0
0.1034,0.8966,"0","1",10,20,1
0.4345,0.5655,"0","0",6,11,0
0.7038,0.2962,"1","0",2,3,0
0.2675,0.7325,"0","0",9,17,0
0.5513,0.4487,"1","0",3,6,0
0.3824,0.6176,"0","0",7,13,0
0.5753,0.4247,"1","1",3,6,1
0.4412,0.5588,"0","0",6,11,0
0.3122,0.6878,"0","0",8,15,0
0.317,0.683,"0","0",8,15,0
0.2155,0.7845,"0","1",9,18,1
0.9619,0.0381,"1","1",1,1,1
0.4215,0.5785,"0","0",6,11,0
0.5495,0.4505,"1","1",4,7,1
0.4025,0.5975,"0","0",6,12,0
0.4246,0.5754,"0","1",6,11,1
0.1126,0.8874,"0","1",10,20,1
0.1404,0.8596,"0","1",10,19,1
0.7958,0.2042,"1","0",1,2,0
0.6302,0.3698,"1","1",2,4,1
0.619,0.381,"1","0",2,4,0
0.6483,0.3517,"1","1",2,4,1
0.5978,0.4022,"1","1",3,5,1
0.2683,0.7317,"0","0",9,17,0
