"charged_off","ContactsMade_Inbound","maxDue","current_rate","lti__c","final_risk_group__c","inquires_last_6_months__c","age","ach_recurring","ach_onetime","utm","pred"
"0",4,60,16.99,1,4,1,1,0,1,1,"0"
"1",0,-1,21.49,4,4,2,1,0,1,1,NA
"0",24,13,13.49,3,2,1,1,0,1,1,NA
"0",0,13,25.99,2,9,0,1,0,1,1,NA
"0",3,-1,21.99,4,6,0,1,1,0,1,NA
"1",0,-1,14.49,4,3,0,1,1,0,1,NA
"1",0,-1,18.99,4,4,1,1,1,0,2,"0"
"1",0,44,14.99,1,3,0,1,1,0,1,"0"
"0",3,-1,25.99,4,5,1,1,1,0,2,"0"
"1",0,-1,21.74,4,5,0,1,1,0,1,"0"
"1",1,-1,9.99,2,2,0,1,1,0,1,NA
"1",0,13,22.49,3,10,0,1,0,1,2,"0"
"0",4,13,9.99,2,2,0,1,0,1,1,NA
"0",39,60,13.49,2,3,0,1,0,1,2,NA
"1",1,60,19.49,3,5,2,1,1,0,2,"0"
"0",5,13,24.99,3,8,1,1,1,0,1,"0"
"1",0,13,23.99,3,9,2,1,0,1,1,"0"
"0",6,-1,11.49,3,3,1,1,0,1,1,NA
"1",0,60,16.49,2,5,2,1,1,0,3,"0"
"1",16,34,21.99,2,8,1,1,1,0,2,NA
"1",8,13,21.49,3,4,1,1,0,1,2,NA
"0",4,43,9.99,4,1,2,1,1,0,2,"0"
"0",3,13,24.99,3,10,2,1,0,1,2,"0"
"0",0,13,14.99,4,4,0,1,1,0,2,"0"
"1",0,-1,18.49,3,4,0,1,1,0,1,NA
"0",1,60,23.99,3,9,1,1,0,1,2,"0"
"1",2,60,11.99,2,3,0,1,1,0,2,"0"
"1",0,-1,24.49,4,7,2,1,1,0,2,"0"
"1",0,-1,17.99,2,4,0,1,1,0,1,NA
"1",0,-1,13.99,3,4,2,1,1,0,2,"0"
"1",1,-1,11.99,3,2,0,1,1,0,1,NA
"1",30,60,23.49,2,10,0,1,0,1,1,NA
"0",2,-1,26.99,1,10,1,1,0,1,1,NA
"1",0,43,8.99,4,1,0,1,1,0,1,"0"
"0",3,13,13.49,4,3,1,1,0,1,1,NA
"0",29,13,9.99,4,1,0,1,0,1,2,NA
"0",2,60,22.49,3,8,0,1,0,1,2,"0"
"1",0,44,21.49,4,5,1,1,1,0,2,"0"
"0",1,-1,26.49,4,9,0,1,1,0,2,"0"
"1",0,-1,12.99,3,2,1,1,1,0,1,NA
"0",8,13,10.99,3,2,0,1,0,1,1,NA
"0",3,60,26.49,3,7,2,1,0,1,1,"0"
"1",9,60,20.49,1,8,2,1,0,1,1,"0"
"0",1,-1,9.49,1,2,0,1,1,0,1,NA
"1",0,60,24.49,3,8,1,1,0,1,2,"0"
"0",12,43,20.99,1,9,2,1,0,1,2,NA
"0",3,-1,25.49,4,8,0,1,1,0,1,NA
"0",3,60,13.99,1,3,1,1,1,0,1,"0"
"0",3,-1,12.49,4,3,2,1,0,1,2,NA
"0",0,-1,14.49,2,6,2,1,1,0,1,NA
"0",16,13,14.99,3,6,0,1,0,1,1,NA
"0",3,-1,7.99,3,1,0,1,0,1,2,NA
"1",3,-1,8.99,4,1,1,1,1,0,2,NA
"1",0,-1,9.49,4,2,0,1,1,0,2,NA
"0",1,43,9.99,4,1,2,1,1,0,1,"0"
"1",0,-1,23.99,4,7,1,1,1,0,2,"0"
"1",0,-1,22.49,2,8,1,1,1,0,1,"0"
"1",1,60,18.49,3,7,2,1,1,0,3,"0"
"1",8,60,8.99,3,1,0,1,0,1,2,"0"
"1",0,60,13.99,2,3,0,1,1,0,1,"0"
"0",3,44,19.99,2,8,0,1,0,1,2,"0"
"0",2,-1,16.49,4,4,0,1,0,1,1,NA
