"1","0","pred","obs","Decile","Ventile","Charged_off"
0.7774,0.2226,"1","1",1,1,1
0.7446,0.2554,"1","1",1,1,1
0.0725,0.9275,"0","0",10,20,0
0.5165,0.4835,"1","0",3,5,0
0.2149,0.7851,"0","1",9,18,1
0.1783,0.8217,"0","0",9,18,0
0.3806,0.6194,"0","0",6,12,0
0.5469,0.4531,"1","1",2,4,1
0.4161,0.5839,"0","0",5,10,0
0.5012,0.4988,"1","1",3,6,1
0.4772,0.5228,"0","1",4,7,1
0.5505,0.4495,"1","1",2,4,1
0.4268,0.5732,"0","0",5,9,0
0.5342,0.4658,"1","0",2,4,0
0.3721,0.6279,"0","0",6,12,0
0.3113,0.6887,"0","0",8,15,0
0.4732,0.5268,"0","0",4,7,0
0.3537,0.6463,"0","0",7,13,0
0.4181,0.5819,"0","0",5,10,0
0.3212,0.6788,"0","0",7,14,0
0.5214,0.4786,"1","1",3,5,1
0.2353,0.7647,"0","0",9,17,0
0.5378,0.4622,"1","1",2,4,1
0.2373,0.7627,"0","1",9,17,1
0.3639,0.6361,"0","1",7,13,1
0.5943,0.4057,"1","1",2,3,1
0.4369,0.5631,"0","0",5,9,0
0.4638,0.5362,"0","0",4,7,0
0.2932,0.7068,"0","0",8,15,0
0.4279,0.5721,"0","0",5,9,0
0.4153,0.5847,"0","1",5,10,1
0.743,0.257,"1","0",1,1,0
0.4189,0.5811,"0","0",5,10,0
0.3679,0.6321,"0","1",7,13,1
0.3326,0.6674,"0","1",7,14,1
0.2533,0.7467,"0","1",8,16,1
0.1981,0.8019,"0","0",9,18,0
0.4627,0.5373,"0","0",4,7,0
0.9415,0.0585,"1","1",1,1,1
0.1482,0.8518,"0","0",10,19,0
0.4059,0.5941,"0","0",6,11,0
0.1844,0.8156,"0","0",9,18,0
0.5442,0.4558,"1","1",2,4,1
0.4404,0.5596,"0","0",4,8,0
0.4005,0.5995,"0","0",6,11,0
0.8104,0.1896,"1","1",1,1,1
0.4081,0.5919,"0","0",5,10,0
0.3095,0.6905,"0","0",8,15,0
0.5194,0.4806,"1","0",3,5,0
0.2139,0.7861,"0","1",9,18,1
0.4378,0.5622,"0","0",5,9,0
0.1828,0.8172,"0","0",9,18,0
0.4818,0.5182,"0","0",3,6,0
0.5727,0.4273,"1","1",2,3,1
0.4269,0.5731,"0","0",5,9,0
0.5755,0.4245,"1","1",2,3,1
0.4566,0.5434,"0","0",4,8,0
0.3145,0.6855,"0","0",8,15,0
0.4097,0.5903,"0","1",5,10,1
0.5277,0.4723,"1","0",3,5,0
0.4669,0.5331,"0","1",4,7,1
0.5372,0.4628,"1","0",2,4,0
0.2104,0.7896,"0","0",9,18,0
0.3979,0.6021,"0","1",6,11,1
0.4318,0.5682,"0","1",5,9,1
0,1,"0","0",10,20,0
0.296,0.704,"0","0",8,15,0
0.3306,0.6694,"0","0",7,14,0
0.467,0.533,"0","0",4,7,0
0.6092,0.3908,"1","0",1,2,0
0.6974,0.3026,"1","0",1,2,0
0.2658,0.7342,"0","0",8,16,0
0.6099,0.3901,"1","0",1,2,0
0.6004,0.3996,"1","0",1,2,0
0.3613,0.6387,"0","0",7,13,0
0.377,0.623,"0","0",6,12,0
0.4828,0.5172,"0","0",3,6,0
0.5013,0.4987,"1","1",3,6,1
0.5342,0.4658,"1","1",2,4,1
0.2041,0.7959,"0","0",9,18,0
0.1047,0.8953,"0","0",10,19,0
0.4082,0.5918,"0","0",5,10,0
0.3807,0.6193,"0","1",6,12,1
0.416,0.584,"0","0",5,10,0
0.2483,0.7517,"0","0",9,17,0
0.3906,0.6094,"0","0",6,11,0
0.1627,0.8373,"0","0",10,19,0
0.5047,0.4953,"1","0",3,6,0
0.4218,0.5782,"0","0",5,9,0
0.475,0.525,"0","0",4,7,0
0.3359,0.6641,"0","0",7,14,0
0.4612,0.5388,"0","1",4,8,1
0.2835,0.7165,"0","1",8,16,1
0.5541,0.4459,"1","1",2,4,1
0.5408,0.4592,"1","1",2,4,1
0.1448,0.8552,"0","0",10,19,0
0.5145,0.4855,"1","1",3,5,1
0.3709,0.6291,"0","0",6,12,0
0.4777,0.5223,"0","1",4,7,1
0.2439,0.7561,"0","0",9,17,0
0.5273,0.4727,"1","1",3,5,1
0.7571,0.2429,"1","1",1,1,1
0.3308,0.6692,"0","0",7,14,0
0.4697,0.5303,"0","0",4,7,0
0.2673,0.7327,"0","1",8,16,1
0.4527,0.5473,"0","0",4,8,0
0.4367,0.5633,"0","0",5,9,0
