"charged_off","num_seq","maxDue","times_pastdue","annual_income","num_of_accounts","debt_to_income","risk_group","co_app","own_home","ach_billing_type_desc","ContactsMade_Inbound","ContactsMade_Outbound","Made_Promise","Trust","ach_billing","ach_onetime","ach_recurring","ach_none"
"1",7,74,2,36400,6,0.301648351648352,6,0,0,"One-Time",2,1,0,NA,0,1,0,0
"1",34,74,7,59800,3,0.130516570044129,11,0,1,"Recurring",10,7,0,NA,0,0,1,0
"0",3,0,0,72115,6,0.179921306784309,2,0,1,"No ACH",6,1,0,NA,0,0,0,1
"0",15,0,0,59800,17,0.130516570044129,11,1,1,"Recurring",0,0,0,NA,0,0,1,0
"1",3,13,0,62400,4,0.130516570044129,2,1,1,"No ACH",0,1,0,NA,0,0,0,1
"0",4,13,0,31200,7,0.130516570044129,8,0,1,"One-Time",7,0,0,NA,0,1,0,0
"0",9,0,0,59800,4,0.130516570044129,9,0,1,"Recurring",1,1,0,NA,0,0,1,0
"1",13,0,0,19188,16,0.455174284551743,7,0,0,"Recurring",0,0,0,NA,0,0,1,0
"0",14,0,0,59800,4,0.130516570044129,11,0,0,"Recurring",1,0,0,NA,0,0,1,0
"1",22,0,0,48000,8,0.0722687653380723,6,0,0,"Recurring",0,0,0,NA,0,0,1,0
"1",14,0,0,60960,10,0.158661417322835,5,0,0,"Recurring",0,1,0,NA,0,0,1,0
"1",7,13,1,117984,9,0.159446181330951,8,0,0,"Recurring",0,1,0,NA,0,0,1,0
"0",13,13,0,59800,7,0.130516570044129,9,0,1,"One-Time",2,0,0,NA,0,1,0,0
"0",11,0,0,59800,9,0.130516570044129,11,0,0,"Recurring",1,7,0,NA,0,0,1,0
"0",13,0,0,36400,4,0.214285714285714,6,0,0,"Recurring",1,0,0,NA,0,0,1,0
"0",8,0,0,59800,5,0.130516570044129,11,0,0,"Recurring",3,1,0,NA,0,0,1,0
"0",26,0,0,59800,4,0.161034626616604,8,0,1,"One-Time",1,4,0,NA,0,1,0,0
"0",20,0,0,41600,9,0.130516570044129,11,0,0,"Billing",1,1,0,NA,1,0,0,0
"0",13,0,0,105976,12,0.189665584660678,8,0,0,"Recurring",2,3,0,NA,0,0,1,0
"0",4,0,0,44200,11,0.108868778280543,4,0,1,"Recurring",2,0,0,NA,0,0,1,0
"1",5,0,0,0,14,0.163131398834776,12,0,1,"Recurring",1,2,0,NA,0,0,1,0
"0",3,10,0,36400,10,0.130516570044129,10,0,1,"No ACH",3,0,0,NA,0,0,0,1
"1",10,0,0,59800,9,0.0831519008541283,8,0,0,"Recurring",1,10,0,NA,0,0,1,0
"1",16,24,6,59800,3,0.107682575384832,4,0,0,"One-Time",10,1,0,NA,0,1,0,0
"1",5,0,0,31953.36,4,0.130516570044129,3,0,0,"Recurring",0,0,0,NA,0,0,1,0
"1",10,27,4,43872,11,0.222647702407002,12,0,0,"One-Time",5,4,0,NA,0,1,0,0
"0",14,12,0,42900,10,0.130516570044129,11,0,1,"Recurring",3,0,0,NA,0,0,1,0
