"team","week","Prob"
"ARZ",1,0.468765661062529
"ATL",1,0.394123615126611
"BAL",1,0.731833130614707
"BUF",1,0.431858277694575
"CAR",1,0.238872277427801
"CHI",1,0.725586213514772
"CIN",1,0.310417185301878
"CLE",1,0.606654250299282
"DAL",1,0.544575760011038
"DEN",1,0.734839741802024
"DET",1,0.531234338937471
"GB",1,0.274413786485228
"HOU",1,0.436151304830065
"IND",1,0.457830217619199
"JAX",1,0.159505799010328
"KC",1,0.840494200989672
"LAC",1,0.542169782380801
"LAR",1,0.761127722572199
"MIA",1,0.268166869385293
"MIN",1,0.605876384873389
"NE",1,0.647831496128254
"NO",1,0.563848695169935
"NYG",1,0.455424239988962
"NYJ",1,0.568141722305425
"OAK",1,0.265160258197976
"PHI",1,0.711332531858839
"PIT",1,0.352168503871746
"SEA",1,0.689582814698122
"SF",1,0.406370750987206
"TB",1,0.593629249012794
"TEN",1,0.393345749700718
"WAS",1,0.288667468141161
"ARZ",2,0.281213654192596
"ATL",2,0.533761224130787
"BAL",2,0.718786345807404
"BUF",2,0.331162266234078
"CAR",2,0.540629901593951
"CHI",2,0.604931373829799
"CIN",2,0.625861383513425
"CLE",2,0.584600285184777
"DAL",2,0.577422851380128
"DEN",2,0.395068626170201
"DET",2,0.182377041454643
"GB",2,0.424404532110742
"HOU",2,0.674616981089764
"IND",2,0.609245551956006
"JAX",2,0.325383018910236
"KC",2,0.879831088570313
"LAC",2,0.817622958545357
"LAR",2,0.450844329352342
"MIA",2,0.215705120160111
"MIN",2,0.575595467889258
"NE",2,0.784294879839889
"NO",2,0.549155670647658
"NYG",2,0.668837733765922
"NYJ",2,0.415399714815223
"OAK",2,0.120168911429687
"PHI",2,0.466238775869213
"PIT",2,0.511564321210288
"SEA",2,0.488435678789712
"SF",2,0.374138616486575
"TB",2,0.459370098406049
"TEN",2,0.390754448043994
"WAS",2,0.422577148619872
"ARZ",3,0.373757086878075
"ATL",3,0.334819509493648
"BAL",3,0.296394016791038
"BUF",3,0.519561251438655
"CAR",3,0.626242913121925
"CHI",3,0.77712145748105
"CIN",3,0.480438748561345
"CLE",3,0.310834477148677
"DAL",3,0.649066011790969
"DEN",3,0.614257041481679
"DET",3,0.303683522313337
"GB",3,0.385742958518321
"HOU",3,0.432305095383278
"IND",3,0.665180490506352
"JAX",3,0.476363852834936
"KC",3,0.703605983208962
"LAC",3,0.567694904616722
"LAR",3,0.689165522851323
"MIA",3,0.350933988209031
"MIN",3,0.752720722338212
"NE",3,0.77295353840165
"NO",3,0.628979687551965
"NYG",3,0.574302374853096
"NYJ",3,0.22704646159835
"OAK",3,0.247279277661788
"PHI",3,0.696316477686663
"PIT",3,0.652051622092073
"SEA",3,0.371020312448035
"SF",3,0.347948377907927
"TB",3,0.425697625146904
"TEN",3,0.523636147165064
"WAS",3,0.22287854251895
"ARZ",4,0.302777694472175
"ATL",4,0.566404889709435
"BAL",4,0.644381182249886
"BUF",4,0.242257765577888
"CAR",4,0.378287773220116
"CHI",4,0.63542575770598
"CIN",4,0.316372956558052
"CLE",4,0.355618817750114
"DAL",4,0.299543534182129
"DEN",4,0.640920628967741
"DET",4,0.140070897785325
"GB",4,0.499647892916606
"HOU",4,0.621712226779884
"IND",4,0.797320582681832
"JAX",4,0.359079371032259
"KC",4,0.859929102214675
"LAC",4,0.822009872482914
"LAR",4,0.734222567976319
"MIA",4,0.177990127517086
"MIN",4,0.36457424229402
"NE",4,0.757742234422112
"NO",4,0.700456465817871
"NYG",4,0.637589456089691
"OAK",4,0.202679417318168
"PHI",4,0.500352107083394
"PIT",4,0.683627043441948
"SEA",4,0.697222305527825
"TB",4,0.265777432023681
"TEN",4,0.433595110290565
"WAS",4,0.362410543910309
"ARZ",5,0.464163256965579
"ATL",5,0.357361483584361
"BAL",5,0.540214320054616
"BUF",5,0.334181945875949
"CAR",5,0.52536462902743
"CHI",5,0.801870734583619
"CIN",5,0.535836743034421
"CLE",5,0.613862825227491
"DAL",5,0.584201601613042
"DEN",5,0.42382980978685
"GB",5,0.415798398386958
"HOU",5,0.642638516415639
"IND",5,0.297842131031364
"JAX",5,0.47463537097257
"KC",5,0.702157868968636
"LAC",5,0.57617019021315
"LAR",5,0.653889492476415
"MIN",5,0.532958479710149
