"Tm","W","L","W-L%","GB","RS","RA","League","Year"
"LAD",32,18,0.64,"--",257,195,"NL",2019
"CHC",29,19,0.604,"2.0",260,199,"NL",2019
"PHI",29,21,0.58,"3.0",249,221,"NL",2019
"MIL",29,22,0.569,"3.5",250,237,"NL",2019
"ATL",28,23,0.549,"4.5",252,236,"NL",2019
"PIT",25,22,0.532,"5.5",186,228,"NL",2019
"SDP",26,24,0.52,"6.0",188,207,"NL",2019
"STL",25,24,0.51,"6.5",249,228,"NL",2019
"ARI",25,25,0.5,"7.0",246,223,"NL",2019
"NYM",24,25,0.49,"7.5",222,235,"NL",2019
"COL",22,26,0.458,"9.0",247,253,"NL",2019
"CIN",22,27,0.449,"9.5",201,176,"NL",2019
"SFG",21,28,0.429,"10.5",186,238,"NL",2019
"WSN",19,31,0.38,"13.0",219,259,"NL",2019
"MIA",16,31,0.34,"14.5",134,216,"NL",2019
"MIN",33,16,0.673,"--",289,199,"AL",2019
"NYY",32,17,0.653,"1.0",260,199,"AL",2019
"HOU",33,18,0.647,"1.0",270,180,"AL",2019
"TBR",29,18,0.617,"3.0",213,151,"AL",2019
"BOS",27,23,0.54,"6.5",267,235,"AL",2019
"TEX",24,23,0.511,"8.0",271,257,"AL",2019
"CLE",25,24,0.51,"8.0",190,191,"AL",2019
"OAK",25,25,0.5,"8.5",245,221,"AL",2019
"CHW",23,26,0.469,"10.0",213,248,"AL",2019
"LAA",22,27,0.449,"11.0",233,249,"AL",2019
"SEA",23,29,0.442,"11.5",271,309,"AL",2019
"TOR",20,30,0.4,"13.5",188,223,"AL",2019
"DET",18,29,0.383,"14.0",158,256,"AL",2019
"KCR",17,32,0.347,"16.0",220,257,"AL",2019
"BAL",15,35,0.3,"18.5",197,305,"AL",2019
